=====> WARNING: Training dataset length: 0, assuming memorization test!
========== Dataset info ==========
Dataset params: {'file': '/home/ryley/WDK/ML/dataset/turbulence_dataset_clean.csv', 'Cases': ['case_1p2'], 'val_set': ['case_1p2'], 'test_set': ['case_1p2'], 'data_loader': <class 'tbnn.dataloaders.aDataset'>}
Train/Valid/Test points: 14751 / 14751 / 14751
Memorization?: True
Cluster training?: False
EPOCH     LR        TRAIN         VALID             MSE:T/V                  RL:T/V             %NR_t/%NR_v
830   2.000E-04   1.7676E-01   1.7676E-01   1.7676E-01 / 1.7676E-01   5.1427E-01 / 5.1427E-01   62.17% / 62.17%
840   2.000E-04   1.8138E-01   1.8138E-01   1.8138E-01 / 1.8138E-01   4.5534E-01 / 4.5534E-01   61.51% / 61.51%
850   2.000E-04   1.7783E-01   1.7783E-01   1.7783E-01 / 1.7783E-01   4.9380E-01 / 4.9380E-01   62.00% / 62.00%
860   2.000E-04   1.7424E-01   1.7424E-01   1.7424E-01 / 1.7424E-01   5.3757E-01 / 5.3757E-01   63.09% / 63.09%
870   2.000E-04   1.9687E-01   1.9687E-01   1.9687E-01 / 1.9687E-01   4.1957E-01 / 4.1957E-01   61.29% / 61.29%
880   2.000E-04   1.8487E-01   1.8487E-01   1.8487E-01 / 1.8487E-01   4.5586E-01 / 4.5586E-01   62.14% / 62.14%
890   2.000E-04   1.9182E-01   1.9182E-01   1.9182E-01 / 1.9182E-01   4.9958E-01 / 4.9958E-01   63.83% / 63.83%
900   2.000E-04   1.9624E-01   1.9624E-01   1.9624E-01 / 1.9624E-01   4.7095E-01 / 4.7095E-01   62.48% / 62.48%
910   2.000E-04   1.7663E-01   1.7663E-01   1.7663E-01 / 1.7663E-01   5.0951E-01 / 5.0951E-01   63.03% / 63.03%
BEST MODEL
===============================================================================================================
864   2.000E-04   1.7246E-01   1.7246E-01   1.7246E-01 / 1.7246E-01   5.2428E-01 / 5.2428E-01   62.91% / 62.91%
===============================================================================================================
Saved model to models/phll_memorization_norealiz/TBNNiii-24May03_10:05:47.pickle
