y,z,TBKAN_Ux,TBKAN_Uy,TBKAN_Uz,DNS_Ux,DNS_Uy,DNS_Uz,Error_Ux,Error_Uy,Error_Uz,Mag_Error_TBKAN_vs_DNS,Mag_Error_RANS_vs_DNS
0.412127,-0.49701,0.0206995,-0.000744385,-4.44817e-05,0.02337723587413513,-0.0005157616296834753,-2.8082314438397584e-05,-0.0026777358741351294,-0.0002286233703165247,-1.6399385561602414e-05,0.0026875280457944826,0.0021751308963553814
0.418861,-0.49701,0.0197828,-0.000717986,-4.35985e-05,0.022835743547425354,-0.00047010613039683713,-2.7769980088821788e-05,-0.003052943547425354,-0.00024787986960316286,-1.582851991117821e-05,0.003063031060169512,0.002099603894984376
0.425297,-0.49701,0.0188446,-0.000678087,-4.38177e-05,0.02163028341173178,-0.0003853479751580633,-2.59560202227415e-05,-0.0027856834117317812,-0.00029273902484193664,-1.7861679777258498e-05,0.0028010796573227775,0.001854734574224223
0.43145,-0.49701,0.0178846,-0.000627709,-4.45038e-05,0.01966959883974,-0.00027424212238944044,-2.100972134707052e-05,-0.0017849988397399992,-0.0003534668776105595,-2.3494078652929478e-05,0.0018198108866507672,0.0014008632535812454
0.437332,-0.49701,0.0169023,-0.000568021,-4.55963e-05,0.019086451075585698,-0.00024397590357157965,-2.048600908887338e-05,-0.0021841510755856997,-0.0003240450964284204,-2.511029091112662e-05,0.002208201003579863,0.0013352922401889404
0.442953,-0.49701,0.0158962,-0.000498486,-4.7158e-05,0.017216605724898436,-0.00017063638503887814,-1.6068794204492166e-05,-0.0013204057248984366,-0.0003278496149611219,-3.108920579550783e-05,0.0013608538448678894,0.0010617015673136583
0.448327,-0.49701,0.0148646,-0.000420046,-4.7914e-05,0.016530275289117623,-0.0001470739772850462,-1.5417197711320326e-05,-0.0016656752891176223,-0.0002729720227149538,-3.249680228867967e-05,0.0016882073143192923,0.0009203925700000805
0.453464,-0.49701,0.0138081,-0.000338275,-4.60615e-05,0.01532869173127692,-0.00011260819114675519,-1.3378182430798698e-05,-0.0015205917312769192,-0.00022566680885324482,-3.26833175692013e-05,0.0015375932235455107,0.0008234493749164869
0.458375,-0.49701,0.01273,-0.00025902,-4.24583e-05,0.013447278888964376,-7.228177816687993e-05,-9.70173266997697e-06,-0.0007172788889643761,-0.00018673822183312006,-3.275656733002303e-05,0.0007419118281511703,0.0006298786382921401
0.463068,-0.49701,0.0116342,-0.000186324,-3.73506e-05,0.012860154481933454,-6.168331683438423e-05,-9.343793020552752e-06,-0.0012259544819334528,-0.00012464068316561577,-2.800680697944725e-05,0.0012325924196221133,0.0006105229871017017
